#Name	Orbits	Mass(kg)	Diam(m)	Perihelion(m)	Aphelion(m)	orbPeriod(days)	rotationalPeriod(hours)	axialtilt(deg)	orbinclin(deg)
Body27	Sun	4.2586e+27	1.186884e+08	3.760705e+12	5.361241e+12	61498.02	776.33	6.84	8.52
Body28	Sun	9.5578e+27	2.025445e+08	4.107741e+12	4.386119e+12	55257.03	194.64	12.01	12.39
Body29	Sun	9.8537e+26	8.662152e+07	3.912180e+12	4.610636e+12	55539.83	334.87	3.72	9.17
Body30	Sun	5.2190e+27	1.578010e+08	3.423182e+11	4.763306e+11	1653.39	959.74	35.60	19.40
Body31	Sun	8.4316e+27	1.972218e+08	1.721758e+12	1.732721e+12	14331.90	342.49	81.17	17.61
Body32	Sun	6.7759e+27	2.169367e+08	1.595157e+12	1.600600e+12	12752.36	987.91	28.80	19.33
Body33	Sun	2.2665e+27	1.082485e+08	5.032697e+11	6.460647e+11	2750.42	856.74	73.50	23.68
Body34	Sun	9.9116e+26	8.598735e+07	5.090742e+12	5.494490e+12	76874.17	463.93	60.73	21.42
Body35	Sun	8.6717e+26	8.589472e+07	2.616240e+12	2.716566e+12	27489.29	48.51	33.13	29.52
Body36	Sun	4.3628e+27	1.644776e+08	5.632702e+12	6.094400e+12	89642.92	173.09	13.53	7.31
Body37	Sun	8.0310e+27	1.485954e+08	1.974654e+12	2.179455e+12	18899.34	277.82	74.87	3.52
Body38	Sun	3.2112e+27	1.524099e+08	3.923923e+12	4.131297e+12	51032.40	519.44	80.47	0.90
Body39	Sun	1.1577e+27	8.630739e+07	1.120309e+11	1.599348e+11	316.59	704.95	18.84	3.04
Body40	Sun	1.8248e+27	9.368896e+07	3.324430e+12	4.256296e+12	46590.36	900.64	1.71	14.40
Body41	Sun	8.5316e+27	2.422474e+08	6.470374e+11	6.772325e+11	3401.69	616.59	70.34	17.04
Body42	Sun	3.1351e+27	1.204714e+08	5.955412e+10	7.612881e+10	111.56	870.31	65.75	25.96
Body43	Sun	4.3458e+27	1.310643e+08	1.869718e+12	2.785916e+12	22423.22	25.65	51.67	6.70
Body44	Sun	3.4511e+27	1.309801e+08	3.505745e+11	4.716091e+11	1664.11	705.40	60.44	28.06
Body45	Sun	5.2626e+27	1.889449e+08	6.515565e+11	7.597917e+11	3742.67	913.14	21.88	28.11
Body46	Sun	4.5852e+27	1.699381e+08	2.804321e+12	3.676349e+12	36826.44	546.14	44.65	5.43
Body47	Sun	5.7892e+27	1.849475e+08	1.229051e+12	1.539419e+12	10282.29	394.09	31.97	8.09
Body48	Sun	4.9514e+27	1.815436e+08	3.418484e+12	3.654740e+12	41990.97	707.21	80.89	7.94
Body49	Sun	5.8655e+27	1.400857e+08	4.433536e+12	6.256354e+12	78017.09	752.22	18.95	1.31
Body50	Sun	4.4118e+27	1.972077e+08	2.930875e+12	3.319684e+12	34882.55	604.79	82.84	24.55
Body51	Sun	2.7339e+27	1.155599e+08	5.299875e+11	6.430486e+11	2835.94	629.98	42.06	6.99
Body52	Sun	2.4625e+26	5.569161e+07	1.790536e+12	2.667710e+12	21012.42	894.05	76.76	16.58
Body53	Sun	6.0022e+27	2.008343e+08	2.673709e+11	3.450204e+11	1069.73	515.92	7.56	0.80
Body54	Sun	4.9850e+27	1.397316e+08	5.233483e+12	5.896827e+12	82887.83	510.33	31.47	6.01
Body55	Sun	4.0418e+27	1.250774e+08	1.993637e+11	2.646600e+11	705.57	135.75	80.95	25.13
Body56	Sun	1.7849e+27	1.498581e+08	4.236710e+12	6.272636e+12	76048.99	273.07	23.88	3.70
Body57	Sun	8.4630e+27	1.492286e+08	2.135119e+12	2.909337e+12	25290.15	346.99	74.67	24.92
Body58	Sun	9.3235e+27	2.074665e+08	6.558401e+11	6.875481e+11	3475.62	227.28	72.27	5.72
Body59	Sun	1.2164e+26	4.184434e+07	3.679814e+12	5.261461e+12	59680.04	587.69	78.30	3.46
Body60	Sun	1.4238e+27	1.302270e+08	2.303652e+12	2.787132e+12	25639.34	175.83	30.79	1.33
Body61	Sun	9.3536e+27	1.638469e+08	1.303173e+11	1.850504e+11	395.33	387.60	73.72	23.33
Body62	Sun	8.1558e+27	1.850772e+08	3.211654e+12	3.469865e+12	38551.63	141.70	9.09	28.96
Body63	Sun	8.9906e+27	1.690083e+08	1.990037e+12	2.047303e+12	18108.10	642.24	70.43	13.87
Body64	Sun	1.7846e+27	1.002788e+08	4.599075e+12	6.498851e+12	82526.35	147.44	33.29	23.47
Body65	Sun	6.4484e+26	9.380753e+07	4.826382e+12	6.125341e+12	80900.94	60.41	11.62	11.00
Body66	Sun	4.0831e+27	1.465178e+08	5.245688e+12	6.351185e+12	88153.84	681.21	13.33	17.12
Body67	Sun	1.1641e+27	8.340224e+07	1.793922e+12	2.531281e+12	20078.89	64.50	82.10	17.64
Body68	Sun	9.8951e+27	2.289018e+08	4.820846e+11	6.479132e+11	2681.31	430.75	20.21	10.18
Body69	Sun	1.1787e+27	1.141571e+08	4.159266e+12	4.290718e+12	54829.44	130.21	18.16	18.93
Body70	Sun	9.7488e+27	1.603348e+08	1.292691e+12	1.765400e+12	11937.29	363.67	45.30	27.32
Body71	Sun	8.2875e+27	1.950448e+08	4.070242e+12	4.598518e+12	56972.51	205.19	7.55	5.65
Body72	Sun	2.1831e+27	1.143769e+08	5.341947e+12	5.671948e+12	81590.83	798.03	21.97	10.48
Body73	Sun	2.7623e+27	1.359804e+08	2.108414e+11	2.256153e+11	643.64	625.87	11.88	7.52
Body74	Sun	9.7043e+27	2.024998e+08	1.055609e+12	1.234226e+12	7734.57	275.63	68.81	2.00
Body75	Sun	5.6537e+27	2.127425e+08	1.482479e+12	1.543369e+12	11748.99	717.37	44.29	11.26
Body76	Sun	9.4836e+27	1.588319e+08	4.955032e+12	5.134570e+12	71538.68	441.80	0.30	0.27
Body77	Sun	9.3710e+27	2.171596e+08	4.187091e+12	5.017139e+12	62332.00	628.77	21.70	13.78
Body78	Sun	7.0577e+27	1.737793e+08	5.763174e+11	5.851445e+11	2794.07	960.08	53.48	29.53
Body79	Sun	6.8076e+27	1.702759e+08	1.534782e+12	2.018604e+12	14951.81	552.29	55.44	27.73
Body80	Sun	1.4654e+27	8.253204e+07	4.563297e+11	6.693509e+11	2665.95	834.71	44.24	2.52
Body81	Sun	1.7832e+27	9.473396e+07	1.112522e+12	1.569906e+12	9806.68	652.04	56.68	11.74
Body82	Sun	9.5136e+27	1.675472e+08	3.557817e+12	4.526039e+12	51304.78	249.92	35.87	17.17
Body83	Sun	9.6726e+27	1.596576e+08	2.154193e+12	3.022152e+12	26288.43	709.56	13.66	10.68
Body84	Sun	5.2574e+27	1.267570e+08	1.907969e+12	2.496054e+12	20630.24	982.96	19.87	5.70
Body85	Sun	5.1438e+27	1.399742e+08	4.563268e+12	5.525539e+12	71530.23	907.28	62.62	7.30
Body86	Sun	7.2221e+27	2.370559e+08	2.664817e+12	3.275630e+12	32319.05	498.27	62.69	18.11
Body87	Sun	8.8412e+27	1.978440e+08	2.016898e+12	2.324433e+12	20191.30	970.61	53.12	7.32
Body88	Sun	7.4997e+27	1.801925e+08	3.668742e+12	4.185637e+12	49135.76	901.19	46.41	9.24
Body89	Sun	1.6565e+26	4.586736e+07	2.776794e+12	3.004239e+12	31026.88	96.46	63.11	15.56
Body90	Sun	8.0345e+27	1.577602e+08	3.157828e+12	4.296491e+12	45429.91	290.59	86.66	4.52
Body91	Sun	6.1566e+27	2.273741e+08	2.934832e+12	4.114445e+12	41777.91	30.16	55.58	2.32
Body92	Sun	7.1519e+26	8.395804e+07	1.588717e+12	2.063693e+12	15581.14	385.59	20.29	6.97
Body93	Sun	6.9148e+27	1.458482e+08	1.336352e+12	1.628785e+12	11397.17	67.73	80.25	6.17
Body94	Sun	8.5242e+27	1.729247e+08	2.901496e+11	4.331772e+11	1373.19	807.61	65.55	21.87
Body95	Sun	2.8084e+27	1.096501e+08	3.392800e+12	4.170152e+12	46426.60	447.93	1.04	4.96
Body96	Sun	9.3761e+27	1.659325e+08	4.703154e+12	6.222467e+12	80611.89	735.39	68.31	2.08
Body97	Sun	5.0789e+27	1.467182e+08	5.016653e+12	5.623089e+12	77468.75	879.82	71.56	21.22
Body98	Sun	4.2362e+27	1.350578e+08	4.614611e+12	4.754981e+12	64019.30	700.66	3.55	15.14
Body99	Sun	7.9228e+27	1.462732e+08	4.058780e+12	4.144978e+12	52450.45	838.81	81.53	29.21
Body100	Sun	3.0135e+27	1.121044e+08	1.474196e+12	1.805900e+12	13260.49	466.75	24.86	1.33
Body101	Sun	5.4814e+27	1.372064e+08	4.828254e+12	6.411824e+12	84117.02	502.07	2.38	4.31
Body102	Sun	7.5512e+27	1.761523e+08	2.686250e+12	3.753184e+12	36475.51	123.35	6.30	8.87
Body103	Sun	3.0103e+26	5.754077e+07	2.210509e+12	3.058080e+12	26994.26	551.96	30.59	23.53
Body104	Sun	3.3642e+27	1.161834e+08	6.867835e+11	8.193318e+11	4125.89	935.74	21.91	10.51
Body105	Sun	7.2024e+27	1.427215e+08	1.146232e+12	1.332693e+12	8712.14	888.27	51.66	10.18
Body106	Sun	4.1939e+27	1.766233e+08	3.714558e+12	4.950030e+12	56931.39	22.22	36.06	26.45
Body107	Sun	9.4579e+27	1.563792e+08	8.973898e+11	1.007266e+12	5867.52	554.64	50.30	20.55
Body108	Sun	5.2206e+27	1.918738e+08	1.698519e+12	2.283318e+12	17735.98	153.24	89.01	5.83
Body109	Sun	6.0613e+27	1.470473e+08	1.907051e+12	2.393757e+12	19909.25	954.78	6.92	24.07
Body110	Sun	4.8455e+27	1.237004e+08	1.821602e+12	2.130334e+12	17536.57	461.00	81.75	21.50
Body111	Sun	7.1841e+26	6.967564e+07	5.372040e+12	5.408349e+12	79009.91	181.05	32.98	3.73
Body112	Sun	4.5234e+27	1.255382e+08	3.179520e+12	4.727049e+12	49626.31	618.36	68.86	20.87
Body113	Sun	6.2494e+27	1.969308e+08	4.347661e+12	6.272291e+12	77252.72	799.97	42.25	16.75
Body114	Sun	4.8574e+27	1.536840e+08	4.674466e+12	5.513513e+12	72587.52	702.14	18.73	23.32
Body115	Sun	5.9880e+27	1.405798e+08	3.381481e+12	4.239575e+12	46962.65	724.17	55.25	6.94
Body116	Sun	2.2289e+27	1.017816e+08	1.865387e+11	2.045523e+11	545.94	241.80	65.21	21.54
Body117	Sun	7.6941e+27	1.881242e+08	1.914289e+12	1.964881e+12	17054.47	892.53	57.46	19.93
Body118	Sun	8.6525e+27	2.345718e+08	5.700539e+11	7.013260e+11	3199.95	495.60	2.26	24.10
Body119	Sun	1.3713e+27	8.323524e+07	1.420310e+12	1.747521e+12	12585.57	249.75	58.22	19.00
Body120	Sun	2.5658e+27	1.106990e+08	4.771878e+12	5.587797e+12	74430.19	275.41	29.54	7.24
Body121	Sun	4.0999e+27	1.352400e+08	4.426456e+12	4.536933e+12	59901.58	629.52	17.36	12.71
Body122	Sun	7.5526e+27	1.780484e+08	4.456327e+12	5.826301e+12	73601.40	865.32	87.62	11.58
Body123	Sun	7.2455e+27	1.632094e+08	5.583023e+11	6.442014e+11	2943.47	842.46	40.98	12.18
Body124	Sun	5.6065e+27	1.479766e+08	6.798241e+10	8.419051e+10	132.51	677.93	38.17	2.87
Body125	Sun	5.7071e+27	1.299658e+08	3.986323e+12	5.394969e+12	64139.25	648.71	17.92	9.87
Body126	Sun	6.5550e+27	1.597273e+08	5.449031e+12	6.277217e+12	89633.12	461.86	58.61	10.63
Body127	Sun	6.7721e+27	1.721144e+08	1.179393e+12	1.322374e+12	8832.84	769.32	70.60	25.06
Body128	Sun	7.7668e+27	1.578528e+08	4.223128e+12	5.464992e+12	67311.49	343.49	48.52	26.35
Body129	Sun	4.0043e+27	1.328154e+08	2.600546e+12	3.476371e+12	33439.12	994.73	57.41	15.45
Body130	Sun	7.1619e+25	4.085895e+07	4.531326e+12	6.049469e+12	76825.85	650.78	77.21	21.07
Body131	Sun	2.9257e+27	1.075969e+08	8.084078e+11	8.164045e+11	4623.12	193.07	55.33	25.76
Body132	Sun	3.5353e+27	1.476134e+08	5.517999e+12	5.677835e+12	83620.86	810.68	51.25	16.51
Body133	Sun	8.6651e+27	1.498342e+08	4.718670e+12	4.859846e+12	66172.46	43.46	35.40	10.53
Body134	Sun	3.2804e+26	6.869092e+07	2.254584e+12	2.499490e+12	23138.16	710.42	80.78	22.44
Body135	Sun	9.1563e+26	7.581426e+07	2.903104e+12	3.983532e+12	40340.43	420.29	80.16	0.18
Body136	Sun	9.3996e+27	1.956485e+08	3.873747e+12	5.264814e+12	61666.12	823.38	10.01	19.04
Body137	Sun	3.0293e+27	1.061459e+08	4.664593e+12	6.218435e+12	80140.96	259.45	5.22	28.39
Body138	Sun	1.8338e+27	1.071743e+08	6.674979e+11	9.958702e+11	4788.64	670.18	80.75	10.80
Body139	Sun	8.1104e+27	1.824646e+08	2.182536e+12	2.285258e+12	21079.96	186.38	22.01	5.69
Body140	Sun	2.2612e+27	1.502346e+08	2.902658e+12	4.017259e+12	40633.22	314.03	32.11	18.43
Body141	Sun	4.9352e+27	1.274800e+08	1.758863e+12	1.887701e+12	15543.75	231.72	50.44	0.32
Body142	Sun	8.4322e+27	2.294339e+08	9.866517e+10	1.051724e+11	205.43	348.99	0.54	11.85
Body143	Sun	9.4545e+27	2.016165e+08	4.670710e+12	5.486228e+12	72256.03	192.85	89.10	5.35
Body144	Sun	6.7501e+26	6.449654e+07	4.209640e+12	5.454015e+12	67056.67	931.36	37.85	3.62
Body145	Sun	4.2867e+27	1.445995e+08	4.336773e+12	5.330884e+12	67098.35	456.93	46.17	0.53
Body146	Sun	3.9880e+27	1.948918e+08	2.762348e+12	3.154879e+12	32129.74	214.22	13.70	12.39
Body147	Sun	8.8008e+27	1.568340e+08	2.129833e+11	2.826273e+11	778.83	497.89	83.41	11.37
Body148	Sun	5.8275e+26	8.083685e+07	3.475089e+12	3.574451e+12	41780.25	420.21	26.68	28.26
Body149	Sun	2.1388e+27	1.132443e+08	3.984671e+12	4.950611e+12	59620.04	510.48	75.58	11.18
Body150	Sun	9.8421e+27	1.989473e+08	6.931771e+11	9.989865e+11	4913.53	66.02	79.22	26.93
Body151	Sun	3.5336e+27	1.203768e+08	2.950243e+12	4.397150e+12	44455.94	142.97	37.50	24.91
Body152	Sun	3.7628e+27	1.766589e+08	2.625679e+12	2.969324e+12	29541.35	764.92	77.12	20.22
Body153	Sun	5.3655e+27	1.556269e+08	1.921954e+12	2.069118e+12	17797.72	731.50	41.37	6.93
Body154	Sun	8.4143e+26	7.469508e+07	1.057597e+12	1.262122e+12	7886.48	205.41	52.72	16.06
Body155	Sun	4.4869e+27	1.266546e+08	6.786260e+11	9.729275e+11	4737.71	858.27	34.44	27.19
Body156	Sun	6.4382e+27	2.079697e+08	4.010814e+12	4.656978e+12	56962.98	166.95	35.86	24.79
Body157	Sun	5.6546e+27	1.584068e+08	2.953494e+12	3.812627e+12	39286.16	793.88	49.45	26.75
Body158	Sun	2.8437e+27	1.297205e+08	1.389310e+11	1.445175e+11	336.85	179.21	23.51	10.66
Body159	Sun	6.4872e+27	1.537386e+08	9.904351e+11	1.190459e+12	7189.22	558.96	78.82	13.09
Body160	Sun	2.3329e+27	1.047287e+08	5.782154e+12	5.983058e+12	90080.24	944.17	42.83	4.80
Body161	Sun	5.0012e+27	1.247999e+08	1.564686e+12	2.001472e+12	15032.49	175.44	11.10	23.74
Body162	Sun	4.2787e+27	1.312526e+08	3.319289e+12	4.353203e+12	47438.90	403.63	11.18	2.50
Body163	Sun	9.3885e+27	2.000039e+08	1.743349e+12	2.164952e+12	17246.93	192.11	84.88	25.33
Body164	Sun	7.6613e+27	1.774214e+08	1.230346e+12	1.771342e+12	11608.56	296.89	20.13	20.25
Body165	Sun	2.4508e+27	1.248602e+08	4.658774e+11	6.748528e+11	2719.60	265.22	74.01	18.64
Body166	Sun	7.5648e+27	1.577676e+08	3.435629e+11	3.926937e+11	1410.18	666.30	53.15	9.06
Body167	Sun	3.9373e+27	1.286646e+08	3.374099e+12	3.940216e+12	44156.07	561.13	43.60	4.81
Body168	Sun	3.4682e+27	1.153580e+08	3.805553e+12	4.915931e+12	57493.07	423.94	59.50	21.11
Body169	Sun	7.6851e+27	1.449100e+08	4.423714e+12	6.336166e+12	78784.55	103.71	51.78	22.94
Body170	Sun	7.2000e+27	2.216980e+08	1.849630e+12	2.763148e+12	22114.33	797.35	29.15	18.17
Body171	Sun	5.3853e+27	1.287408e+08	2.117677e+12	2.808997e+12	24409.60	961.15	7.82	13.29
Body172	Sun	2.8934e+27	1.202950e+08	1.959335e+12	2.023345e+12	17741.61	745.07	27.03	17.83
Body173	Sun	3.7640e+27	1.264845e+08	1.002727e+12	1.096494e+12	6789.18	202.18	64.07	8.54
Body174	Sun	1.4233e+27	9.580153e+07	1.240363e+12	1.349212e+12	9301.92	530.86	80.52	13.27
Body175	Sun	5.3646e+27	1.344850e+08	3.481611e+12	4.487292e+12	50214.34	11.55	37.32	10.66
Body176	Sun	2.9517e+27	1.078301e+08	2.901648e+12	3.267041e+12	34199.45	97.13	33.60	15.07
Body177	Sun	2.6839e+27	1.263530e+08	2.168647e+12	2.808919e+12	24788.80	340.92	2.75	2.50
Body178	Sun	7.4778e+25	3.286666e+07	3.120289e+12	4.509586e+12	47044.20	450.92	59.04	12.14
Body179	Sun	8.7279e+27	1.609500e+08	1.906478e+12	2.309536e+12	19323.37	14.04	62.21	9.04
Body180	Sun	1.2481e+27	1.027716e+08	4.238396e+12	6.353030e+12	76941.67	979.83	43.43	4.98
Body181	Sun	2.0234e+26	4.298077e+07	1.712136e+11	1.987574e+11	502.32	158.77	6.68	29.47
Body182	Sun	1.6525e+27	9.017536e+07	3.514398e+12	4.237267e+12	48175.08	133.11	73.40	9.79
Body183	Sun	5.5268e+27	1.626881e+08	1.435507e+12	1.603740e+12	11827.12	331.35	89.54	17.81
Body184	Sun	7.6463e+27	2.031317e+08	3.914510e+12	4.162770e+12	51242.17	576.15	66.27	7.14
Body185	Sun	6.6068e+27	1.475226e+08	2.828189e+12	3.774738e+12	37873.43	749.49	59.13	28.33
Body186	Sun	4.4477e+27	1.544669e+08	1.903467e+12	2.196820e+12	18533.24	503.36	89.40	3.38
Body187	Sun	6.9810e+27	1.524427e+08	4.475571e+12	6.596859e+12	82242.13	551.62	26.43	26.80
Body188	Sun	9.4771e+27	1.762578e+08	3.475846e+12	4.666359e+12	51861.25	251.84	19.83	6.16
Body189	Sun	6.3413e+27	2.176191e+08	8.345392e+11	1.174538e+12	6356.60	287.23	59.71	21.00
Body190	Sun	5.0747e+27	1.470407e+08	2.575825e+11	3.247111e+11	991.84	466.42	64.57	0.36
Body191	Sun	6.1217e+27	1.348897e+08	2.826524e+12	3.644862e+12	36747.34	755.82	68.59	10.78
Body192	Sun	2.5213e+26	5.278057e+07	1.608761e+12	1.955392e+12	15019.81	610.27	10.37	19.67
Body193	Sun	7.7169e+27	1.626772e+08	9.107694e+11	1.266384e+12	7170.73	827.38	30.95	19.45
Body194	Sun	4.1575e+26	6.351151e+07	2.629897e+12	3.753220e+12	35998.07	807.28	65.44	7.23
Body195	Sun	1.0486e+27	9.337785e+07	1.951826e+12	1.954525e+12	17234.03	7.91	80.78	11.39
Body196	Sun	3.9557e+26	6.341944e+07	3.044965e+12	3.819431e+12	40145.17	173.36	74.91	0.95
Body197	Sun	5.9857e+27	1.617768e+08	6.681812e+11	8.137782e+11	4027.03	263.07	31.78	23.96
Body198	Sun	2.4712e+27	1.125555e+08	4.709653e+12	6.713311e+12	86178.34	354.04	13.90	22.81
Body199	Sun	9.6051e+27	1.765341e+08	6.811016e+10	7.062847e+10	115.35	908.92	51.31	12.51
Body200	Sun	1.8006e+27	1.333741e+08	5.647599e+12	5.672950e+12	85021.97	832.31	80.30	19.42
Body201	Sun	4.8414e+27	1.248903e+08	4.445033e+12	5.180415e+12	66659.39	595.72	35.61	6.66
Body202	Sun	5.1120e+27	1.262746e+08	2.748437e+12	3.702362e+12	36572.13	979.47	63.38	20.05
Body203	Sun	1.6422e+27	1.165892e+08	3.688036e+12	4.363593e+12	50998.28	872.62	47.38	24.48
Body204	Sun	5.7289e+27	1.715679e+08	1.340261e+12	1.542628e+12	10926.26	400.52	55.81	4.95
Body205	Sun	1.6297e+27	8.814984e+07	2.732615e+12	2.835964e+12	29332.32	432.93	20.29	17.85
Body206	Sun	7.1770e+27	2.259936e+08	4.219219e+12	4.260094e+12	55115.14	748.10	11.20	14.65
Body207	Sun	1.4466e+27	9.376085e+07	5.095667e+12	6.543716e+12	88639.00	277.39	3.58	27.80
Body208	Sun	1.6964e+26	4.172296e+07	2.229023e+12	2.388068e+12	22145.35	266.54	88.33	16.16
Body209	Sun	5.8445e+27	1.843182e+08	1.993512e+12	2.698894e+12	22689.42	995.72	88.88	16.69
Body210	Sun	9.0931e+27	1.525830e+08	5.397256e+12	5.799414e+12	83630.21	508.98	24.12	12.54
Body211	Sun	4.3076e+27	1.294114e+08	1.892339e+12	2.617709e+12	21379.70	45.09	25.69	3.47
Body212	Sun	4.3812e+27	1.295172e+08	4.383482e+12	5.888923e+12	73491.66	837.66	30.50	28.61
Body213	Sun	5.2142e+27	1.339741e+08	4.048703e+12	4.193088e+12	52815.61	15.23	32.04	22.34
Body214	Sun	3.4128e+27	1.315131e+08	1.202545e+11	1.437020e+11	302.71	114.78	23.02	12.38
Body215	Sun	8.5825e+27	2.310430e+08	1.500834e+12	1.684603e+12	12690.64	844.13	41.65	5.25
Body216	Sun	9.4053e+27	1.771955e+08	2.475994e+12	2.827010e+12	27259.18	928.74	46.48	21.09
Body217	Sun	3.1011e+27	1.176937e+08	2.622470e+12	3.541635e+12	34161.35	964.42	23.34	17.58
Body218	Sun	9.5852e+27	1.699713e+08	2.574306e+12	3.380875e+12	32439.36	313.17	81.02	28.89
Body219	Sun	2.4663e+27	1.316999e+08	3.044012e+12	3.188187e+12	34728.97	352.27	60.43	8.29
Body220	Sun	8.5710e+27	1.772718e+08	1.171615e+12	1.178184e+12	8040.37	168.78	41.09	8.86
Body221	Sun	3.4781e+27	1.104222e+08	2.907273e+12	3.882352e+12	39491.05	479.08	86.27	20.32
Body222	Sun	5.4372e+27	2.136023e+08	3.530847e+12	3.749957e+12	43852.96	687.17	58.47	23.10
Body223	Sun	1.0653e+26	3.586892e+07	1.379092e+12	1.469113e+12	10729.68	548.17	53.12	17.11
Body224	Sun	6.5111e+26	6.740598e+07	1.441451e+12	1.529653e+12	11431.59	949.71	29.24	7.10
Body225	Sun	6.9515e+27	1.538961e+08	2.010814e+12	2.485089e+12	21279.20	804.59	20.38	15.18
Body226	Sun	8.4267e+26	7.182865e+07	3.028468e+12	3.051138e+12	33461.32	637.50	11.03	23.97
Body227	Sun	7.5644e+27	2.083203e+08	1.086295e+12	1.105213e+12	7241.77	122.57	8.51	16.76
Body228	Sun	1.9820e+27	1.316707e+08	4.039034e+12	5.535310e+12	66129.23	947.20	11.79	24.32
Body229	Sun	2.9203e+27	1.341491e+08	3.018155e+12	3.936051e+12	40935.61	925.36	61.27	29.88
Body230	Sun	6.7052e+27	1.547596e+08	3.526434e+12	4.280869e+12	48694.67	668.15	54.33	7.50
Body231	Sun	7.4388e+27	1.425052e+08	2.520340e+12	2.922746e+12	28346.38	146.04	11.31	30.00
Body232	Sun	8.0762e+27	1.755033e+08	3.460568e+12	4.027020e+12	45734.39	794.76	57.38	9.34
Body233	Sun	8.7683e+27	1.826929e+08	3.908944e+12	5.000219e+12	59358.82	868.11	61.82	21.66
Body234	Sun	1.6056e+27	1.160908e+08	5.557796e+12	6.163124e+12	89572.04	842.17	6.28	12.75
Body235	Sun	9.5911e+26	8.058648e+07	8.162322e+11	1.136825e+12	6092.59	213.11	34.46	7.61
Body236	Sun	7.2080e+27	1.797781e+08	4.304064e+11	6.012680e+11	2339.07	210.11	27.69	17.06
Body237	Sun	4.6096e+27	1.519845e+08	4.385537e+12	4.744325e+12	61578.09	530.90	0.88	8.25
Body238	Sun	5.4023e+27	1.436727e+08	7.685766e+10	8.249726e+10	142.00	621.22	83.42	14.12
Body239	Sun	3.5620e+27	1.569361e+08	5.074707e+12	5.137462e+12	72846.21	849.26	54.53	19.25
Body240	Sun	4.6805e+27	1.215884e+08	2.070835e+12	2.900607e+12	24743.07	285.54	87.94	24.00
Body241	Sun	3.2509e+27	1.167287e+08	8.814128e+11	9.872764e+11	5702.11	261.38	8.69	1.44
Body242	Sun	6.3368e+27	1.850370e+08	3.399177e+12	4.974393e+12	54087.37	630.85	4.23	10.89
